skill_id,skill_name,category,parent_skill_id,description
SK001,Python,Software,,Python competency used in employee allocation and project matching.
SK002,Java,Software,,Java competency used in employee allocation and project matching.
SK003,C++,Software,,C++ competency used in employee allocation and project matching.
SK004,JavaScript,Software,,JavaScript competency used in employee allocation and project matching.
SK005,React,Software,SK004,React competency used in employee allocation and project matching.
SK006,Angular,Software,SK004,Angular competency used in employee allocation and project matching.
SK007,Node.js,Software,SK004,Node.js competency used in employee allocation and project matching.
SK008,Django,Software,SK001,Django competency used in employee allocation and project matching.
SK009,Flask,Software,SK001,Flask competency used in employee allocation and project matching.
SK010,Spring Boot,Software,SK002,Spring Boot competency used in employee allocation and project matching.
SK011,SQL,Software,,SQL competency used in employee allocation and project matching.
SK012,MySQL,Software,SK011,MySQL competency used in employee allocation and project matching.
SK013,PostgreSQL,Software,SK011,PostgreSQL competency used in employee allocation and project matching.
SK014,MongoDB,Software,,MongoDB competency used in employee allocation and project matching.
SK015,Machine Learning,Software,SK018,Machine Learning competency used in employee allocation and project matching.
SK016,Deep Learning,Software,SK015,Deep Learning competency used in employee allocation and project matching.
SK017,Data Analysis,Software,SK018,Data Analysis competency used in employee allocation and project matching.
SK018,Data Science,Software,,Data Science competency used in employee allocation and project matching.
SK019,DevOps,Software,,DevOps competency used in employee allocation and project matching.
SK020,Docker,Software,SK019,Docker competency used in employee allocation and project matching.
SK021,Kubernetes,Software,SK019,Kubernetes competency used in employee allocation and project matching.
SK022,AWS,Software,SK019,AWS competency used in employee allocation and project matching.
SK023,Azure,Software,SK019,Azure competency used in employee allocation and project matching.
SK024,Git,Software,,Git competency used in employee allocation and project matching.
SK025,Linux,Software,SK019,Linux competency used in employee allocation and project matching.
SK026,Cybersecurity,Software,,Cybersecurity competency used in employee allocation and project matching.
SK027,UI/UX Design,Software,,UI/UX Design competency used in employee allocation and project matching.
SK028,Testing,Software,,Testing competency used in employee allocation and project matching.
SK029,Automation Testing,Software,SK028,Automation Testing competency used in employee allocation and project matching.
SK030,Mobile Development,Software,,Mobile Development competency used in employee allocation and project matching.
SK031,Android,Software,SK030,Android competency used in employee allocation and project matching.
SK032,iOS,Software,SK030,iOS competency used in employee allocation and project matching.
SK033,PHP,Software,,PHP competency used in employee allocation and project matching.
SK034,Laravel,Software,SK033,Laravel competency used in employee allocation and project matching.
SK035,Ruby on Rails,Software,,Ruby on Rails competency used in employee allocation and project matching.
SK036,Go,Software,,Go competency used in employee allocation and project matching.
SK037,Rust,Software,,Rust competency used in employee allocation and project matching.
SK038,Scala,Software,,Scala competency used in employee allocation and project matching.
SK039,Project Management,Management,,Project Management competency used in employee allocation and project matching.
SK040,Agile,Management,,Agile competency used in employee allocation and project matching.
SK041,Scrum,Management,,Scrum competency used in employee allocation and project matching.
SK042,Leadership,Management,,Leadership competency used in employee allocation and project matching.
SK043,Team Management,Management,,Team Management competency used in employee allocation and project matching.
SK044,Communication,Management,,Communication competency used in employee allocation and project matching.
SK045,Planning,Management,,Planning competency used in employee allocation and project matching.
SK046,Coordination,Management,,Coordination competency used in employee allocation and project matching.
SK047,Risk Management,Management,,Risk Management competency used in employee allocation and project matching.
SK048,Time Management,Management,,Time Management competency used in employee allocation and project matching.
SK049,Stakeholder Management,Management,,Stakeholder Management competency used in employee allocation and project matching.
SK050,Resource Management,Management,,Resource Management competency used in employee allocation and project matching.
SK051,Budgeting,Management,,Budgeting competency used in employee allocation and project matching.
SK052,Documentation,Management,,Documentation competency used in employee allocation and project matching.
SK053,Presentation,Management,,Presentation competency used in employee allocation and project matching.
SK054,Decision Making,Management,,Decision Making competency used in employee allocation and project matching.
