task_id,employee_id,project_id,task_name,task_type,complexity,priority,status,story_points,estimated_hours,actual_hours,progress_percent,start_date,end_date,sprint_no,bug_count,dependency_task_id,remarks,task_domain,required_skill_context
T000001,E00709,P00001,Update resource forecast,User Story,Medium,Medium,To Do,7,70,78,0,2024-12-03,2024-12-18,3,3,NONE,Needs stakeholder sign-off,Backend,Data Analysis
T000002,E00379,P00002,Track milestone risks,Bug Fix,Low,Medium,In Progress,1,8,9,34,2025-09-11,2025-09-24,13,1,NONE,Client-facing deliverable,Quality/Security,SQL
T000003,E00145,P00003,Clean transaction dataset,Deployment,High,Critical,In Review,10,80,74,86,2026-03-17,2026-04-10,4,1,NONE,Support handoff required,DevOps/Cloud,Git
T000004,E00200,P00004,Create responsive dashboard mockups,Deployment,Medium,Low,Done,7,77,66,100,2024-01-15,2024-01-20,1,3,NONE,Automation opportunity,DevOps/Cloud,JavaScript; UI/UX Design; React
T000005,E00250,P00005,Train churn prediction model,Feature Development,High,Medium,To Do,11,55,41,0,2024-01-22,2024-02-04,5,0,T000001,High visibility,Backend,PostgreSQL
T000006,E00244,P00006,Upgrade CI pipeline,Deployment,Medium,High,In Progress,7,63,51,45,2024-08-01,2024-08-04,2,3,NONE,Cross-team dependency,DevOps/Cloud,Kubernetes
T000007,E00047,P00007,Prioritize sprint backlog,Bug Fix,Low,High,To Do,2,20,32,0,2024-11-24,2024-11-26,14,5,NONE,Needs stakeholder sign-off,Quality/Security,SQL
T000008,E00212,P00008,Create weekly operations report,Testing,Medium,Medium,In Progress,5,45,57,48,2024-07-18,2024-07-21,6,4,T000004,Internal improvement,Quality/Security,SQL; PostgreSQL
T000009,E00221,P00009,Validate feature pipeline,Code Review,Medium,High,To Do,4,40,28,0,2023-07-19,2023-07-28,3,1,NONE,Cross-team dependency,Backend,PostgreSQL
T000010,E00008,P00010,Test API contract changes,User Story,Low,Medium,In Review,2,14,9,88,2023-10-04,2023-10-11,3,3,T000003,High visibility,Backend,Automation Testing
T000011,E00124,P00011,Automate backup policy,Feature Development,Medium,High,In Progress,7,42,46,52,2024-05-24,2024-06-03,3,1,NONE,Security-sensitive,Backend,DevOps
T000012,E00195,P00012,Test API contract changes,Feature Development,Low,Medium,In Progress,1,4,4,53,2025-09-23,2025-10-07,9,3,T000003,Support handoff required,Backend,Automation Testing
